scorer,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.30,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.31,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.32,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.33,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.34,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.35,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.36,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.37,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.38,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.39,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.40,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.41,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.42,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.43,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.44,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.45,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.46,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.47,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.48,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.49,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.50,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.51,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.52,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.53,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.54,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.55,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.56,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.57,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.58,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.59
bodyparts,center,center,center,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,leftarm,leftarm,leftarm,rightarm,rightarm,rightarm,leftleg,leftleg,leftleg,rightleg,rightleg,rightleg,tail base,tail base,tail base,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
54,881.975,454.368,1.0,864.806,604.201,1.0,904.242,528.904,1.0,855.008,525.126,1.0,931.276,499.556,1.0,832.531,494.3,1.0,917.487,390.604,1.0,809.463,429.248,1.0,833.343,339.439,1.0,,,0.0
55,882.738,454.042,1.0,864.9,604.139,1.0,904.741,528.788,1.0,855.037,525.037,1.0,931.39,499.655,1.0,832.605,494.173,1.0,917.349,390.854,1.0,809.173,429.418,1.0,832.876,339.14,1.0,,,0.0
56,883.359,454.077,1.0,866.664,607.733,1.0,901.917,528.833,1.0,856.508,524.749,1.0,930.746,500.067,1.0,829.296,494.533,1.0,915.794,391.372,1.0,809.914,429.641,1.0,832.054,336.145,1.0,,,0.0
57,882.389,449.689,1.0,868.519,606.921,1.0,902.717,527.955,1.0,855.34,524.126,1.0,929.858,500.298,1.0,828.693,493.189,1.0,915.059,390.33,1.0,809.02,427.104,0.9990000128746033,830.685,334.838,1.0,,,0.0
58,878.171,443.708,1.0,865.076,604.231,1.0,900.968,528.428,1.0,852.95,519.892,1.0,929.866,500.611,1.0,828.935,493.627,1.0,914.251,391.73,1.0,810.008,428.555,0.996999979019165,834.541,336.249,1.0,,,0.0
59,878.207,443.751,1.0,864.939,604.241,1.0,900.998,528.37,1.0,852.878,519.955,1.0,929.825,500.607,1.0,829.012,493.71,1.0,914.218,391.753,1.0,809.826,428.435,0.9980000257492065,834.892,336.346,1.0,,,0.0
60,880.998,445.881,1.0,864.976,602.388,1.0,899.542,525.804,1.0,843.948,517.723,1.0,930.898,491.669,1.0,828.56,493.017,1.0,916.465,392.904,1.0,809.749,426.66,0.9980000257492065,833.774,335.369,1.0,,,0.0
61,878.448,444.87,1.0,863.323,602.15,1.0,900.938,526.253,1.0,843.317,518.959,1.0,930.577,491.459,1.0,828.924,493.469,1.0,916.632,392.388,1.0,819.038,426.545,0.9990000128746033,830.971,334.716,1.0,,,0.0
62,878.32,444.44,1.0,863.333,602.137,1.0,900.952,525.8,1.0,843.226,518.726,1.0,930.49,491.541,1.0,829.028,493.188,1.0,916.787,391.754,1.0,819.006,426.501,0.9980000257492065,830.819,334.599,1.0,,,0.0
63,878.102,451.761,1.0,867.364,601.425,1.0,899.894,527.999,1.0,843.245,519.424,1.0,929.348,497.779,1.0,828.958,493.254,1.0,915.927,392.126,1.0,817.471,427.694,1.0,829.381,337.723,1.0,,,0.0
64,883.563,448.567,1.0,879.959,601.932,1.0,901.345,527.04,1.0,849.778,518.173,1.0,929.524,498.858,1.0,828.938,493.633,1.0,915.348,389.194,1.0,809.469,428.04,1.0,829.88,339.308,1.0,,,0.0
65,883.277,448.879,1.0,879.94,601.813,1.0,901.777,527.367,1.0,850.019,518.517,1.0,929.516,498.759,1.0,828.96,493.67,1.0,915.346,389.278,1.0,809.487,428.026,1.0,829.767,339.003,1.0,,,0.0
66,886.995,453.106,1.0,879.372,602.049,1.0,905.382,527.431,1.0,852.886,520.604,1.0,931.361,499.539,1.0,828.333,492.959,1.0,914.932,389.565,1.0,810.342,428.14,0.9980000257492065,829.587,338.346,1.0,,,0.0
67,887.363,453.042,1.0,879.145,601.955,1.0,905.813,526.869,1.0,853.169,520.434,1.0,931.116,499.206,1.0,828.467,492.947,1.0,915.073,389.711,1.0,810.16,427.959,0.9990000128746033,829.218,337.961,1.0,,,0.0
